date_time,City,State,Shape,duration_sec,log_sec
8/9/19 00:45,Federal Way,WA,Triangle,300,5.703782474656201
8/4/19 13:45,East Olympia,WA,Cigar,1200,7.090076835776092
8/4/19 04:32,Vancouver,WA,Oval,240,5.480638923341991
7/28/19 23:05,Lake Stevens,WA,Diamond,600,6.396929655216146
7/26/19 23:18,Poulsbo,WA,Sphere,120,4.787491742782046
7/25/19 02:01,Kittitas,WA,Diamond,1500,7.313220387090301
7/24/19 23:02,Tukwila,WA,Circle,3,1.0986122886681098
7/23/19 21:20,Loon Lake,WA,Diamond,26,3.258096538021482
7/21/19 23:30,Sultan,WA,Disk,300,5.703782474656201
7/19/19 00:00,Peshastin,WA,Oval,50,3.912023005428146
7/18/19 17:30,Spokane,WA,Cigar,20,2.995732273553991
7/13/19 22:15,Tacoma,WA,Circle,600,6.396929655216146
7/11/19 23:15,Bellingham,WA,Circle,180,5.19295685089021
7/7/19 23:00,Gig Harbor,WA,Fireball,16,2.772588722239781
7/5/19 00:04,Kent,WA,Fireball,120,4.787491742782046
7/4/19 22:03,Kent,WA,Fireball,15,2.70805020110221
7/4/19 22:00,Colville,WA,Circle,1800,7.495541943884256
6/25/19 00:10,Tacoma,WA,Triangle,3,1.0986122886681098
6/17/19 12:40,Everett,WA,Cylinder,3600,8.1886891244442
6/15/19 23:00,Forks,WA,Sphere,60,4.0943445622221
6/14/19 22:12,Colville,WA,Formation,20,2.995732273553991
6/12/19 09:57,Uniontown,WA,Disk,20,2.995732273553991
5/26/19 22:30,Springdale,WA,Sphere,1500,7.313220387090301
5/26/19 22:25,Colville,WA,Cylinder,180,5.19295685089021
5/26/19 03:00,West seattle,WA,Formation,25,3.2188758248682006
5/25/19 23:00,Forks,WA,Cylinder,60,4.0943445622221
5/25/19 22:30,Belfair,WA,Formation,20,2.995732273553991
5/24/19 23:50,Pasco,WA,Triangle,300,5.703782474656201
5/22/19 20:15,Federal Way,WA,Circle,300,5.703782474656201
5/20/19 14:00,Marysville,WA,Triangle,90,4.499809670330265
5/18/19 20:04,Fife,WA,Rectangle,180,5.19295685089021
4/20/19 18:40,Olympia,WA,Cigar,7200,8.881836305004146
4/15/19 19:30,Marysville,WA,Disk,60,4.0943445622221
4/2/19 00:00,Richland,WA,Triangle,60,4.0943445622221
3/29/19 21:30,Olympia,WA,Triangle,120,4.787491742782046
3/20/19 22:21,Vancouver,WA,Fireball,6,1.791759469228055
3/20/19 22:14,The Dalles area,WA,Rectangle,5,1.6094379124341003
3/17/19 22:00,Puyallup,WA,Cylinder,600,6.396929655216146
3/17/19 05:20,Seattle,WA,Oval,60,4.0943445622221
3/12/19 16:30,Snohomish,WA,Circle,1200,7.090076835776092
2/28/19 04:00,Lakewood,WA,Triangle,900,6.802394763324311
2/24/19 21:00,Bonney Lake,WA,Circle,8,2.0794415416798357
